"Removed_MPA","Removed_Source","Removed_ES","Estimate","SE","pval","Significant"
"Abalone Cove SMCA","Landsat",3.039,1.3428,0.2451,0,"YES"
"Anacapa Island SMR 2003","KFM",0.111,1.4278,0.2499,0,"YES"
"Anacapa Island SMR 2003","PISCO",1.536,1.4107,0.2596,0,"YES"
"Cabrillo SMR","Landsat",-0.121,1.4309,0.2497,0,"YES"
"Campus Point SMCA","LTER",1.779,1.3987,0.2576,0,"YES"
"Campus Point SMCA","PISCO",1.617,1.4068,0.2574,0,"YES"
"Campus Point SMCA","Landsat",0.431,1.4561,0.2552,0,"YES"
"Carrington Pt SMR","Landsat",2.55,1.3601,0.2504,0,"YES"
"Gull Island SMR","Landsat",0.881,1.4431,0.2596,0,"YES"
"Gull Island SMR","KFM",5.235,1.3162,0.2342,0,"YES"
"Gull Island SMR","PISCO",1.676,1.4038,0.2582,0,"YES"
"Harris Point SMR","PISCO",-0.566,1.4859,0.2351,0,"YES"
"Harris Point SMR","Landsat",0.747,1.4437,0.2574,0,"YES"
"Matlahuayl SMR","PISCO",1.962,1.39,0.2562,0,"YES"
"Naples SMCA","LTER",3.713,1.3379,0.2417,0,"YES"
"Naples SMCA","Landsat",-0.092,1.462,0.2503,0,"YES"
"Point Dume SMCA","Landsat",0.239,1.4622,0.2532,0,"YES"
"Point Dume SMR","Landsat",1.093,1.4223,0.2545,0,"YES"
"Point Vicente SMCA","Landsat",1.83,1.3983,0.2555,0,"YES"
"Santa Barbara Island SMR","KFM",3.915,1.3332,0.2402,0,"YES"
"Santa Barbara Island SMR","Landsat",2.039,1.3846,0.256,0,"YES"
"Scorpion SMR","KFM",3.931,1.3709,0.2459,0,"YES"
"Scorpion SMR","PISCO",2.568,1.3583,0.2501,0,"YES"
"Skunk Pt SMR","Landsat",0.777,1.4406,0.257,0,"YES"
"South La Jolla SMR","Landsat",3.058,1.3767,0.2481,0,"YES"
"South Point SMR","KFM",3.771,1.3601,0.245,0,"YES"
"South Point SMR","PISCO",0.598,1.4549,0.2574,0,"YES"
"South Point SMR","Landsat",0.018,1.4757,0.2488,0,"YES"
"Swamis SMCA","Landsat",-1.823,1.4749,0.2376,0,"YES"
