"Term","Estimate","SE","t_value","df","p_value"
"(Intercept)",0.191479489153926,0.28927177801249,0.661936295581723,10.8321748288552,0.521844785206536
"SpeciesSemicossyphus pulcher",0.498910651742732,0.248585406686189,2.00699895618793,2475.27893437463,0.0448583190584581
"SpeciesStrongylocentrotus purpuratus",-0.224528425648011,0.259065859624066,-0.866684734043411,2488.11751036896,0.386198340909885
"SpeciesMesocentrotus franciscanus",0.250972265555061,0.259065859624065,0.96875854626021,2488.11751145149,0.332759831449188
"SpeciesMacrocystis pyrifera",-1.04128635232164,0.251641280252979,-4.13797907590843,2487.33999677079,3.6202374807064e-05
"time",0.104135179218898,0.0257783937639202,4.03963024898186,25.9157072093318,0.000423641914103797
"SpeciesSemicossyphus pulcher:time",-0.132949566524347,0.0232555376580427,-5.71689928133604,2493.72309962808,1.21413879035667e-08
"SpeciesStrongylocentrotus purpuratus:time",-0.185021576703152,0.0246144623061128,-7.51678319851835,2479.64958354923,7.79519999386583e-14
"SpeciesMesocentrotus franciscanus:time",-0.168608156571514,0.0246144623061128,-6.84996302070925,2479.64958549754,9.28322810124719e-12
"SpeciesMacrocystis pyrifera:time",0.0516496763508707,0.0237163059116258,2.17781287454012,2484.49264988247,0.0295137408098228
